family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10
1,314,372,,,,,,,,
1,316,,,,,,,,,
1,320,,,,,,,,,
1,322,,,,,,,,,
1,324,468,,,,,,,,
1,326,435,,,,,,,,
1,335,382,398,417,422,,,,,
1,355,496,,,,,,,,
1,356,,,,,,,,,
1,373,401,413,429,455,480,487,490,,
1,375,,,,,,,,,
1,380,415,,,,,,,,
1,384,475,,,,,,,,
1,395,,,,,,,,,
1,420,,,,,,,,,
1,421,478,,,,,,,,
1,425,,,,,,,,,
1,428,,,,,,,,,
1,430,447,466,473,,,,,,
1,433,,,,,,,,,
1,441,,,,,,,,,
1,442,,,,,,,,,
1,443,448,449,,,,,,,
1,445,,,,,,,,,
1,452,481,,,,,,,,
1,454,465,,,,,,,,
1,457,,,,,,,,,
1,464,,,,,,,,,
1,470,,,,,,,,,
1,471,,,,,,,,,
1,483,,,,,,,,,
1,491,,,,,,,,,
1,494,,,,,,,,,
2,1,9,13,23,30,35,38,41,65,66
1,2,18,307,368,414,456,,,,
1,3,5,202,284,288,350,385,389,403,
2,4,47,165,194,317,348,486,491,,
1,6,89,346,365,,,,,,
1,7,12,29,44,59,68,69,114,115,126
1,8,60,133,137,139,146,172,186,195,225
1,10,19,20,33,50,51,52,70,104,158
1,11,180,,,,,,,,
1,14,318,319,367,,,,,,
1,15,26,34,57,58,129,170,189,190,193
2,16,24,92,247,295,309,394,400,441,458
1,17,379,,,,,,,,
1,21,97,328,,,,,,,
1,22,56,61,124,149,199,217,226,256,285
1,25,84,93,112,215,235,296,438,,
1,27,85,96,116,143,175,187,222,242,255
1,28,43,73,74,81,99,103,105,107,110
1,31,,,,,,,,,
1,32,210,245,374,392,469,,,,
1,36,206,248,315,386,,,,,
2,37,42,72,88,98,109,156,191,254,339
1,39,439,,,,,,,,
1,40,76,91,120,121,122,160,173,182,196
1,45,292,,,,,,,,
1,46,241,370,419,477,492,,,,
1,48,55,71,145,163,166,168,185,205,221
1,49,136,153,178,207,227,230,277,286,301
1,53,64,94,141,148,204,258,264,271,278
1,54,113,144,154,211,253,323,444,,
1,62,83,424,484,,,,,,
1,63,101,123,212,282,383,434,446,,
1,67,298,302,,,,,,,
1,75,249,,,,,,,,
1,77,,,,,,,,,
2,78,86,167,418,457,,,,,
1,79,127,209,216,232,327,460,462,476,
1,80,111,331,,,,,,,
1,82,100,184,397,408,485,,,,
1,87,,,,,,,,,
2,90,108,125,131,134,150,161,162,174,183
1,95,118,299,,,,,,,
1,102,179,308,,,,,,,
1,106,,,,,,,,,
1,117,157,268,,,,,,,
1,119,,,,,,,,,
1,128,159,176,329,362,363,436,453,,
1,130,,,,,,,,,
1,132,140,142,155,188,197,220,229,234,246
1,135,287,381,,,,,,,
1,138,171,390,,,,,,,
1,147,,,,,,,,,
1,151,177,399,,,,,,,
1,152,409,,,,,,,,
1,164,351,,,,,,,,
1,169,,,,,,,,,
2,181,200,208,233,236,250,274,280,312,325
1,192,240,,,,,,,,
1,198,,,,,,,,,
1,201,,,,,,,,,
2,203,213,224,251,252,266,269,272,276,289
1,214,,,,,,,,,
2,218,237,267,275,303,305,330,343,345,349
1,219,238,239,257,262,263,270,332,353,359
1,223,265,337,459,489,,,,,
1,228,,,,,,,,,
2,231,425,,,,,,,,
1,243,,,,,,,,,
1,244,338,,,,,,,,
1,259,440,,,,,,,,
1,260,294,334,341,342,344,376,388,396,402
1,261,,,,,,,,,
1,273,,,,,,,,,
1,279,,,,,,,,,
1,281,321,347,361,387,407,431,451,495,
1,283,333,358,479,,,,,,
1,290,310,336,357,393,416,450,463,488,
1,291,,,,,,,,,
1,293,297,300,410,412,427,432,454,465,467
1,304,378,,,,,,,,
1,306,,,,,,,,,
1,311,340,354,369,405,430,447,466,473,
1,313,,,,,,,,,
1,314,372,,,,,,,,
1,316,,,,,,,,,
1,320,,,,,,,,,
1,322,,,,,,,,,
1,324,468,,,,,,,,
1,326,435,,,,,,,,
1,335,382,398,417,422,,,,,
1,352,366,421,472,478,481,483,,,
1,355,496,,,,,,,,
1,356,,,,,,,,,
1,360,,,,,,,,,
1,364,371,373,391,401,411,413,426,429,455
1,375,,,,,,,,,
1,377,461,493,,,,,,,
1,380,415,474,,,,,,,
1,384,475,,,,,,,,
1,395,404,,,,,,,,
1,406,423,437,443,448,449,482,,,
1,420,,,,,,,,,
1,428,,,,,,,,,
1,433,,,,,,,,,
1,442,,,,,,,,,
1,445,,,,,,,,,
1,452,,,,,,,,,
1,464,,,,,,,,,
1,470,,,,,,,,,
1,471,,,,,,,,,
1,480,490,,,,,,,,
1,487,,,,,,,,,
1,494,,,,,,,,,
2,1,9,13,23,30,35,38,41,65,66
1,2,18,307,368,414,456,,,,
1,3,5,202,284,288,350,385,389,403,
2,4,47,165,194,317,348,486,491,,
1,6,89,346,365,,,,,,
1,7,12,29,44,59,68,69,114,115,126
1,8,60,133,137,139,146,172,186,195,225
1,10,19,20,33,50,51,52,70,104,158
1,11,180,,,,,,,,
1,14,318,319,367,,,,,,
1,15,26,34,57,58,129,170,189,190,193
2,16,24,92,247,295,309,394,400,441,458
1,17,379,,,,,,,,
1,21,97,328,,,,,,,
1,22,56,61,124,149,199,217,226,256,285
1,25,84,93,112,215,235,296,438,,
1,27,85,96,116,143,175,187,222,242,255
1,28,43,73,74,81,99,103,105,107,110
1,31,,,,,,,,,
1,32,210,245,374,392,469,,,,
1,36,206,248,315,386,,,,,
2,37,42,72,88,98,109,156,191,254,339
1,39,439,,,,,,,,
1,40,76,91,120,121,122,160,173,182,196
1,45,292,,,,,,,,
1,46,241,370,419,477,492,,,,
1,48,55,71,145,163,166,168,185,205,221
1,49,136,153,178,207,227,230,277,286,301
1,53,64,94,141,148,204,258,264,271,278
1,54,113,144,154,211,253,323,444,,
1,62,83,424,484,,,,,,
1,63,101,123,212,282,383,434,446,,
1,67,298,302,,,,,,,
1,75,249,,,,,,,,
1,77,,,,,,,,,
2,78,86,167,418,457,,,,,
1,79,127,209,216,232,327,460,462,476,
1,80,111,331,,,,,,,
1,82,100,184,397,408,485,,,,
1,87,,,,,,,,,
2,90,108,125,131,134,150,161,162,174,183
1,95,118,299,,,,,,,
1,102,179,308,,,,,,,
1,106,,,,,,,,,
1,117,157,268,,,,,,,
1,119,,,,,,,,,
1,128,159,176,329,362,363,436,453,,
1,130,,,,,,,,,
1,132,140,142,155,188,197,220,229,234,246
1,135,287,381,,,,,,,
1,138,171,390,,,,,,,
1,147,,,,,,,,,
1,151,177,399,,,,,,,
1,152,409,,,,,,,,
1,164,351,,,,,,,,
1,169,,,,,,,,,
2,181,200,208,233,236,250,274,280,312,325
1,192,240,,,,,,,,
1,198,,,,,,,,,
1,201,,,,,,,,,
2,203,213,224,251,252,266,269,272,276,289
1,214,,,,,,,,,
2,218,237,267,275,303,305,330,343,345,349
1,219,238,239,257,262,263,270,332,353,359
1,223,265,337,459,489,,,,,
1,228,,,,,,,,,
2,231,425,,,,,,,,
1,243,,,,,,,,,
1,244,338,,,,,,,,
1,259,440,,,,,,,,
1,260,294,334,341,342,344,376,388,396,402
1,261,,,,,,,,,
1,273,,,,,,,,,
1,279,,,,,,,,,
1,281,321,347,361,387,407,431,451,495,
1,283,333,358,479,,,,,,
1,290,310,336,357,393,416,450,463,488,
1,291,,,,,,,,,
1,293,297,300,410,412,427,432,454,465,467
1,304,378,,,,,,,,
1,306,,,,,,,,,
1,311,340,354,369,405,430,447,466,473,
1,313,,,,,,,,,
1,314,372,,,,,,,,
1,316,,,,,,,,,
1,320,,,,,,,,,
1,322,,,,,,,,,
1,324,468,,,,,,,,
1,326,435,,,,,,,,
1,335,382,398,417,422,,,,,
1,352,366,421,472,478,481,483,,,
1,355,496,,,,,,,,
1,356,,,,,,,,,
1,360,,,,,,,,,
1,364,371,373,391,401,411,413,426,429,455
1,375,,,,,,,,,
1,377,461,493,,,,,,,
1,380,415,474,,,,,,,
1,384,475,,,,,,,,
1,395,404,,,,,,,,
1,406,423,437,443,448,449,482,,,
1,420,,,,,,,,,
1,428,,,,,,,,,
1,433,,,,,,,,,
1,442,,,,,,,,,
1,445,,,,,,,,,
1,452,,,,,,,,,
1,464,,,,,,,,,
1,470,,,,,,,,,
1,471,,,,,,,,,
1,480,490,,,,,,,,
1,487,,,,,,,,,
1,494,,,,,,,,,
